Album,Artist,Genre,Score,Best New Music,Reviewer,Reviewer Detail,Date,URL
Tessellatum,Nadia Sirota,Experimental,7.2,,Jayson Greene,Contributing Editor,"Thu, 10 Aug 2017 05:00:00 GMT",/reviews/albums/nadia-sirota-tessellatum/
Shitty Hits,Katie Von Schleicher,Rock,7.1,,Paul Thompson,Contributor,"Thu, 10 Aug 2017 05:00:00 GMT",/reviews/albums/katie-von-schleicher-shitty-hits/
who told you to think?​?​!​!​?​!​?​!​?​!,milo,Rap,7.5,,Mehan Jayasuriya,Contributor,"Thu, 10 Aug 2017 05:00:00 GMT",/reviews/albums/milo-who-told-you-to-think/
Cost of Living,Downtown Boys,Rock,7.5,,Philip Sherburne,Contributing Editor,"Wed, 09 Aug 2017 05:00:00 GMT",/reviews/albums/downtown-boys-cost-of-living/
Yellow,Naomi Punk,Rock,5.6,,Evan Rytlewski,Contributor,"Wed, 09 Aug 2017 05:00:00 GMT",/reviews/albums/naomi-punk-yellow/
"Soul of a Nation — Afro-Centric Visions in the Age of Black Power: Underground Jazz, Street Funk, & the Roots of Rap 1968-79",Various Artists,,8.0,,Andy Beta,Contributor,"Wed, 09 Aug 2017 05:00:00 GMT",/reviews/albums/soul-of-a-nation-afro-centric-visions-in-the-age-of-black-power-underground-jazz-street-funk-and-the-roots-of-rap-1964-79/
S’WOMEN,Stas THEE Boss,Rap,6.7,,Karas Lamb,Contributor,"Wed, 09 Aug 2017 05:00:00 GMT",/reviews/albums/stas-thee-boss-swomen/
Fried Shallots EP,Ty Segall,Rock,7.1,,Nina Corcoran,Contributor,"Tue, 08 Aug 2017 05:00:00 GMT",/reviews/albums/ty-segall-fried-shallots-ep/
The Golden Mile EP,Flash Trading,Electronic,7.0,,Kevin Lozano,Tracks Coordinator,"Tue, 08 Aug 2017 05:00:00 GMT",/reviews/albums/flash-trading-the-golden-mile-ep/
Boy Who Cried Wolf,Wifisfuneral,Rap,6.0,,Sheldon Pearce,Contributing Writer,"Tue, 08 Aug 2017 05:00:00 GMT",/reviews/albums/wifisfuneral-boy-who-cried-wolf/
Hamtramck ’16,Moon King,Pop/R&B,5.4,,Sasha Geffen,Contributor,"Tue, 08 Aug 2017 05:00:00 GMT",/reviews/albums/moon-king-hamtramck-16/
Dark Matter,Randy Newman,Rock,8.0,,Mike Powell,Contributor,"Mon, 07 Aug 2017 05:00:00 GMT",/reviews/albums/randy-newman-dark-matter/
Refresher EP,Konx-om-Pax,Electronic,7.3,,Ben Cardew,Contributor,"Mon, 07 Aug 2017 05:00:00 GMT",/reviews/albums/konx-om-pax-refresher-ep/
"50,000,000 Elvis Fans Can’t Be Wrong",Caroline Says,Folk/Country,7.2,,Philip Cosores,Contributor,"Mon, 07 Aug 2017 05:00:00 GMT",/reviews/albums/caroline-says-50000000-elvis-fans-cant-be-wrong/
A Black Mile to the Surface,Manchester Orchestra,Rock,7.0,,Ian Cohen,Contributor,"Mon, 07 Aug 2017 05:00:00 GMT",/reviews/albums/manchester-orchestra-a-black-mile-to-the-surface/
Good Morning Spider,Sparklehorse,Rock,9.1,,Sasha Geffen,Contributor,"Sun, 06 Aug 2017 05:00:00 GMT",/reviews/albums/sparklehorse-good-morning-spider/
Late Night Tales,BADBADNOTGOOD,Jazz,7.6,,Sheldon Pearce,Contributing Writer,"Sat, 05 Aug 2017 05:00:00 GMT",/reviews/albums/badbadnotgood-late-night-tales/
Dead Cross,Dead Cross,Rock,6.2,,Saby Reyes-Kulkarni,Contributor,"Sat, 05 Aug 2017 05:00:00 GMT",/reviews/albums/dead-cross-dead-cross/
Collection,Soccer Mommy,Rock,6.7,,Evan Rytlewski,Contributor,"Sat, 05 Aug 2017 05:00:00 GMT",/reviews/albums/soccer-mommy-collection/
Sacred Horror in Design,Sote,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Sat, 05 Aug 2017 05:00:00 GMT",/reviews/albums/sote-sacred-horror-in-design/
Threshold of Faith EP,Ben Frost,Electronic,6.8,,Daniel Martin-McCormick,Contributor,"Fri, 04 Aug 2017 05:00:00 GMT",/reviews/albums/ben-frost-threshold-of-faith-ep/
Nervous System EP,Julia Michaels,Pop/R&B,6.6,,Katherine St. Asaph,Contributor,"Fri, 04 Aug 2017 05:00:00 GMT",/reviews/albums/julia-michaels-nervous-system-ep/
Call It Love,Briana Marela,Rock,6.9,,Sasha Geffen,Contributor,"Fri, 04 Aug 2017 05:00:00 GMT",/reviews/albums/briana-marela-call-it-love/
Content,Joywave,Rock,5.9,,Saby Reyes-Kulkarni,Contributor,"Fri, 04 Aug 2017 05:00:00 GMT",/reviews/albums/joywave-content/
Here Come the Warm Jets,Brian Eno,Experimental,9.5,Best new reissue,Douglas Wolk,Contributor,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/brian-eno-here-come-the-warm-jets-taking-tiger-mountain-by-strategy-before-and-after-science/
Taking Tiger Mountain (By Strategy),Brian Eno,Experimental,10.0,Best new reissue,Douglas Wolk,Contributor,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/brian-eno-here-come-the-warm-jets-taking-tiger-mountain-by-strategy-before-and-after-science/
Before and After Science,Brian Eno,Experimental,10.0,Best new reissue,Douglas Wolk,Contributor,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/brian-eno-here-come-the-warm-jets-taking-tiger-mountain-by-strategy-before-and-after-science/
Verse,People Like You,Rock,7.2,,Ian Cohen,Contributor,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/people-like-you-verse/
Contempt,Couch Slut,Metal,7.7,,Saby Reyes-Kulkarni,Contributor,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/couch-slut-contempt/
Tchornobog,Tchornobog,Metal,7.4,,Sam Sodomsky,Associate Staff Writer,"Thu, 03 Aug 2017 05:00:00 GMT",/reviews/albums/tchornobog-tchornobog/
Golden,Romeo Santos,Pop/R&B,7.6,,Matthew  Ismael Ruiz,Contributor,"Wed, 02 Aug 2017 05:00:00 GMT",/reviews/albums/romeo-santos-golden/
Perfect Timing,"Nav, Metro Boomin",Rap,4.8,,Jay Balfour,Contributor,"Wed, 02 Aug 2017 05:00:00 GMT",/reviews/albums/nav-metro-boomin-perfect-timing/
The Elements,"Joe Henderson, Alice Coltrane",Jazz,8.6,Best new reissue,Mark Richardson,Executive Editor,"Wed, 02 Aug 2017 05:00:00 GMT",/reviews/albums/joe-henderson-alice-coltrane-the-elements/
fantasii,Mhysa,Electronic,7.8,,Rachel Hahn,Contributor,"Wed, 02 Aug 2017 05:00:00 GMT",/reviews/albums/mhysa-fantasii/
Good for You,Aminé,Rap,7.3,,Briana Younger,Contributor,"Tue, 01 Aug 2017 05:00:00 GMT",/reviews/albums/amine-good-for-you/
Sounds from the Other Side,WizKid,Global,7.4,,Claire Lobenfeld,Contributor,"Tue, 01 Aug 2017 05:00:00 GMT",/reviews/albums/wizkid-sounds-from-the-other-side/
La Torre Ibiza — Volumen Dos,Various Artists,,7.8,,Andy Beta,Contributor,"Tue, 01 Aug 2017 05:00:00 GMT",/reviews/albums/various-artists-la-torre-ibiza-volumen-dos/
What Do You Think About the Car?,Declan McKenna,Rock,5.9,,Marc Hogan,Senior Staff Writer,"Tue, 01 Aug 2017 05:00:00 GMT",/reviews/albums/declan-mckenna-what-do-you-think-about-the-car/
The Autobiography,Vic Mensa,Rap,6.9,,Jay Balfour,Contributor,"Mon, 31 Jul 2017 05:00:00 GMT",/reviews/albums/vic-mensa-the-autobiography/
The Outsiders EP,Ross From Friends,Electronic,6.6,,Kevin Lozano,Tracks Coordinator,"Mon, 31 Jul 2017 05:00:00 GMT",/reviews/albums/ross-from-friends-the-outsiders-ep/
Lack,Pan Daijing,Experimental,7.6,,Thea Ballard,Contributor,"Mon, 31 Jul 2017 05:00:00 GMT",/reviews/albums/pan-daijing-lack/
Ceilings,Denitia,Pop/R&B,7.2,,Briana Younger,Contributor,"Mon, 31 Jul 2017 05:00:00 GMT",/reviews/albums/denitia-ceilings/
American Water,Silver Jews,Rock,9.4,,Mike Powell,Contributor,"Sun, 30 Jul 2017 05:00:00 GMT",/reviews/albums/silver-jews-american-water/
New Facts Emerge,The Fall,Rock,6.8,,Robert Ham,Contributor,"Sat, 29 Jul 2017 05:00:00 GMT",/reviews/albums/the-fall-new-facts-emerge/
Patterns for Resonant Space,Sontag Shogun,Experimental,7.3,,Raymond Cummings,Contributor,"Sat, 29 Jul 2017 05:00:00 GMT",/reviews/albums/sontag-shogun-patterns-for-resonant-space/
Sudan Archives,Sudan Archives,Folk/Country,7.3,,Karas Lamb,Contributor,"Sat, 29 Jul 2017 05:00:00 GMT",/reviews/albums/sudan-archives-sudan-archives/
Riding the Thin Line EP,DJ Bone,Electronic,7.6,,Daniel Martin-McCormick,Contributor,"Sat, 29 Jul 2017 05:00:00 GMT",/reviews/albums/dj-bone-riding-the-thin-line-ep/
Everything Now,Arcade Fire,Rock,5.6,,Jeremy D. Larson,Senior Editor,"Fri, 28 Jul 2017 05:00:00 GMT",/reviews/albums/arcade-fire-everything-now/
Hate Songs EP,Suicideyear,Electronic,7.3,,Chal Ravens,Contributor,"Fri, 28 Jul 2017 05:00:00 GMT",/reviews/albums/suicideyear-hate-songs-ep/
Greenspan and Taraval EP,"Jeremy Greenspan, Taraval",Electronic,6.9,,Thea Ballard,Contributor,"Fri, 28 Jul 2017 05:00:00 GMT",/reviews/albums/jeremy-greenspan-taraval-greenspan-and-taraval-ep/
Rotations,Golden Retriever,Experimental,8.0,,Patric Fallon,Contributor,"Fri, 28 Jul 2017 05:00:00 GMT",/reviews/albums/golden-retriever-rotations/
Wins and Losses,Meek Mill,Rap,7.4,,Sheldon Pearce,Contributing Writer,"Thu, 27 Jul 2017 05:00:00 GMT",/reviews/albums/meek-mill-wins-and-losses/
Habit EP,Snail Mail,Rock,7.7,,Quinn Moreland,Assistant Editor,"Thu, 27 Jul 2017 05:00:00 GMT",/reviews/albums/snail-mail-habit-ep/
LoveJoys,Pickwick,Rock,6.6,,Saby Reyes-Kulkarni,Contributor,"Thu, 27 Jul 2017 05:00:00 GMT",/reviews/albums/pickwick-lovejoys/
Strange Days,Lory D,Electronic,7.5,,Jesse Weiss,Contributor,"Thu, 27 Jul 2017 05:00:00 GMT",/reviews/albums/lory-d-strange-days/
Add Violence EP,Nine Inch Nails,Rock,7.3,,Sean T. Collins,Contributor,"Wed, 26 Jul 2017 05:00:00 GMT",/reviews/albums/nine-inch-nails-add-violence-ep/
Índia,Gal Costa,Pop/R&B,8.5,,Andy Beta,Contributor,"Wed, 26 Jul 2017 05:00:00 GMT",/reviews/albums/gal-costa-india/
Moonshine Freeze,This Is the Kit,Folk/Country,7.3,,Sam Sodomsky,Associate Staff Writer,"Wed, 26 Jul 2017 05:00:00 GMT",/reviews/albums/this-is-the-kit-moonshine-freeze/
Hip Mobility,Quindar,Experimental,6.8,,Saby Reyes-Kulkarni,Contributor,"Wed, 26 Jul 2017 05:00:00 GMT",/reviews/albums/quindar-hip-mobility/
Lust for Life,Lana Del Rey,Pop/R&B,7.7,,Meaghan Garvey,Contributor,"Tue, 25 Jul 2017 05:00:00 GMT",/reviews/albums/lana-del-rey-lust-for-life/
Eucalyptus,Avey Tare,Experimental,7.6,,Evan Rytlewski,Contributor,"Tue, 25 Jul 2017 05:00:00 GMT",/reviews/albums/avey-tare-eucalyptus/
Bedouine,Bedouine,Folk/Country,7.5,,Sam Sodomsky,Associate Staff Writer,"Tue, 25 Jul 2017 05:00:00 GMT",/reviews/albums/bedouine-bedouine/
Pariah,Jana Rush,Electronic,7.9,,Kevin Lozano,Tracks Coordinator,"Tue, 25 Jul 2017 05:00:00 GMT",/reviews/albums/jana-rush-pariah/
Sacred Hearts Club,Foster the People,"Electronic, Rock",5.5,,Brad Shoup,Contributor,"Mon, 24 Jul 2017 05:00:00 GMT",/reviews/albums/foster-the-people-sacred-hearts-club/
Fabriclive 93,Daphni,Electronic,7.6,,Andy Beta,Contributor,"Mon, 24 Jul 2017 05:00:00 GMT",/reviews/albums/daphni-fabriclive-93/
Sunday Songs,The Beacon Sound Choir,,7.7,,Philip Sherburne,Contributing Editor,"Mon, 24 Jul 2017 05:00:00 GMT",/reviews/albums/the-beacon-sound-choir-sunday-songs/
Full Flower,Us and Us Only,,6.7,,Ian Cohen,Contributor,"Mon, 24 Jul 2017 05:00:00 GMT",/reviews/albums/us-and-us-only-full-flower/
Dots and Loops,Stereolab,Experimental,9.2,,Eric Harvey,Contributor,"Sun, 23 Jul 2017 05:00:00 GMT",/reviews/albums/stereolab-dots-and-loops/
Leave Home,Ramones,Rock,9.5,Best new reissue,Stephen Thomas Erlewine,Contributor,"Sat, 22 Jul 2017 05:00:00 GMT",/reviews/albums/ramones-leave-home/
Pagan Day,Psychic TV,Experimental,6.7,,Stuart Berman,Contributor,"Sat, 22 Jul 2017 05:00:00 GMT",/reviews/albums/psychic-tv-pagan-day-allegory-and-self/
Allegory and Self,Psychic TV,Experimental,8.3,,Stuart Berman,Contributor,"Sat, 22 Jul 2017 05:00:00 GMT",/reviews/albums/psychic-tv-pagan-day-allegory-and-self/
Lo Tom,Lo Tom,Rock,6.2,,Ian Cohen,Contributor,"Sat, 22 Jul 2017 05:00:00 GMT",/reviews/albums/lo-tom-lo-tom/
Square One,"Bjørn Torske, Prins Thomas",Electronic,7.3,,Andy Beta,Contributor,"Sat, 22 Jul 2017 05:00:00 GMT",/reviews/albums/bjorn-torske-prins-thomas-square-one/
Flower Boy,"Tyler, the Creator",Rap,8.5,Best new music,Sheldon Pearce,Contributing Writer,"Fri, 21 Jul 2017 05:00:00 GMT",/reviews/albums/tyler-the-creator-flower-boy/
Raskit,Dizzee Rascal,Rap,7.0,,Ben Cardew,Contributor,"Fri, 21 Jul 2017 05:00:00 GMT",/reviews/albums/dizzee-rascal-raskit/
Dead Saints Chronicles,Burnt Friedman,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Fri, 21 Jul 2017 05:00:00 GMT",/reviews/albums/burnt-friedman-dead-saints-chronicles/
Several Shades of the Same Color,Patricia,Electronic,6.9,,Patric Fallon,Contributor,"Fri, 21 Jul 2017 05:00:00 GMT",/reviews/albums/patricia-several-shades-of-the-same-color/
Mellow Waves,Cornelius,Electronic,7.7,,Jesse Jarnow,Contributor,"Thu, 20 Jul 2017 05:00:00 GMT",/reviews/albums/cornelius-mellow-waves/
"Sounds of Crenshaw, Vol. 1",Terrace Martin Presents the Pollyseeds,Pop/R&B,7.6,,Seth Colter Walls,Contributor,"Thu, 20 Jul 2017 05:00:00 GMT",/reviews/albums/terrace-martin-presents-the-pollyseeds-sounds-of-crenshaw-vol-1/
One Night Only,Cousin Stizz,Rap,6.9,,Mehan Jayasuriya,Contributor,"Thu, 20 Jul 2017 05:00:00 GMT",/reviews/albums/cousin-stizz-one-night-only/
Solid Rain,Holy Shit,Rock,7.2,,Thea Ballard,Contributor,"Thu, 20 Jul 2017 05:00:00 GMT",/reviews/albums/holy-shit-solid-rain/
Jungle Rules,French Montana,Rap,6.5,,Sheldon Pearce,Contributing Writer,"Wed, 19 Jul 2017 05:00:00 GMT",/reviews/albums/french-montana-jungle-rules/
EP #260,SQÜRL,Experimental,6.8,,Marc Masters,Contributor,"Wed, 19 Jul 2017 05:00:00 GMT",/reviews/albums/squrl-ep-260/
Jean​-​Jacques Perrey et son Ondioline,Jean​-​Jacques Perrey,Electronic,7.6,,Ben Cardew,Contributor,"Wed, 19 Jul 2017 05:00:00 GMT",/reviews/albums/jean-jacques-perrey-jean-jacques-perrey-et-son-ondioline/
Blast Off Through the Wicker,Art Feynman,,7.0,,Will Schube,Contributor,"Wed, 19 Jul 2017 05:00:00 GMT",/reviews/albums/art-feynman-blast-off-through-the-wicker/
Soft Sounds From Another Planet,Japanese Breakfast,Rock,8.0,,Nathan Reese,Contributor,"Tue, 18 Jul 2017 05:00:00 GMT",/reviews/albums/japanese-breakfast-soft-sounds-from-another-planet/
Mura Masa,Mura Masa,Electronic,7.7,,Eve Barlow,Contributor,"Tue, 18 Jul 2017 05:00:00 GMT",/reviews/albums/mura-masa-mura-masa/
Deep Marble Sunrise,Coca Leaf,Experimental,7.1,,Paul Thompson,Contributor,"Tue, 18 Jul 2017 05:00:00 GMT",/reviews/albums/coca-leaf-deep-marble-sunrise/
Infinity Ultra,Claude Speeed,Electronic,7.4,,Philip Sherburne,Contributing Editor,"Tue, 18 Jul 2017 05:00:00 GMT",/reviews/albums/claude-speeed-infinity-ultra/
Kaleidoscope EP,Coldplay,Rock,5.8,,Jamieson Cox,Contributor,"Mon, 17 Jul 2017 05:00:00 GMT",/reviews/albums/coldplay-kaleidoscope-ep/
Sodium,Dasher,Metal,7.8,,Stuart Berman,Contributor,"Mon, 17 Jul 2017 05:00:00 GMT",/reviews/albums/dasher-sodium/
God First,Mr Jukes,Pop/R&B,5.8,,Ian Cohen,Contributor,"Mon, 17 Jul 2017 05:00:00 GMT",/reviews/albums/mr-jukes-god-first/
Raft,Mike Cooper,Experimental,6.8,,Andy Beta,Contributor,"Mon, 17 Jul 2017 05:00:00 GMT",/reviews/albums/mike-cooper-raft/
The Album,SW.,Experimental,8.0,,Philip Sherburne,Contributing Editor,"Mon, 17 Jul 2017 05:00:00 GMT",/reviews/albums/sw-the-album/
Appetite for Destruction,Guns N' Roses,Rock,10.0,,Maura Johnston,Contributor,"Sun, 16 Jul 2017 05:00:00 GMT",/reviews/albums/guns-n-roses-appetite-for-destruction/
Quazarz: Born on a Gangster Star,Shabazz Palaces,Rap,7.6,,Matthew  Ismael Ruiz,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/shabazz-palaces-quazarz-born-on-a-gangster-star-quazarz-vs-the-jealous-machines/
Quazarz vs. The Jealous Machines,Shabazz Palaces,Rap,7.9,,Matthew  Ismael Ruiz,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/shabazz-palaces-quazarz-born-on-a-gangster-star-quazarz-vs-the-jealous-machines/
Need to Feel Your Love,Sheer Mag,Rock,8.0,,Stuart Berman,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/sheer-mag-need-to-feel-your-love/
Fly,Yoko Ono,Experimental,8.7,Best new reissue,Marc Masters,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/yoko-ono-fly-approximately-infinite-universe-feeling-the-space/
Approximately Infinite Universe,Yoko Ono,Experimental,8.2,Best new reissue,Marc Masters,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/yoko-ono-fly-approximately-infinite-universe-feeling-the-space/
Feeling the Space,Yoko Ono,Experimental,7.0,,Marc Masters,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/yoko-ono-fly-approximately-infinite-universe-feeling-the-space/
"Howling, for the Nightmare Shall Consume",Integrity,Metal,7.7,,Zoe Camp,Contributor,"Fri, 14 Jul 2017 05:00:00 GMT",/reviews/albums/integrity-howling-for-the-nightmare-shall-consume/
Out in the Storm,Waxahatchee,Rock,8.2,,Sam Sodomsky,Associate Staff Writer,"Thu, 13 Jul 2017 05:00:00 GMT",/reviews/albums/waxahatchee-out-in-the-storm/
Lifetime of Love,Moon Diagrams,Rock,7.0,,Calum Marsh,Contributor,"Thu, 13 Jul 2017 05:00:00 GMT",/reviews/albums/moon-diagrams-lifetime-of-love/
The Mountain Has Fallen EP,DJ Shadow,Electronic,6.5,,Nate Patrin,Contributor,"Thu, 13 Jul 2017 05:00:00 GMT",/reviews/albums/dj-shadow-the-mountain-has-fallen-ep/
Dear,Boris,"Metal, Rock",7.3,,Saby Reyes-Kulkarni,Contributor,"Thu, 13 Jul 2017 05:00:00 GMT",/reviews/albums/boris-dear/
Issa Album,21 Savage,Rap,6.5,,Sheldon Pearce,Contributing Writer,"Wed, 12 Jul 2017 05:00:00 GMT",/reviews/albums/21-savage-issa-album/
Nothing Is Quick in the Desert,Public Enemy,Rap,6.0,,Jay Balfour,Contributor,"Wed, 12 Jul 2017 05:00:00 GMT",/reviews/albums/public-enemy-nothing-is-quick-in-the-desert/
Ex Eye,Ex Eye,Experimental,8.1,,Grayson Haver Currin,Contributor,"Wed, 12 Jul 2017 05:00:00 GMT",/reviews/albums/ex-eye-ex-eye/
Plastic Cough,Great Grandpa,Rock,6.7,,Ian Cohen,Contributor,"Wed, 12 Jul 2017 05:00:00 GMT",/reviews/albums/great-grandpa-plastic-cough/
Boo Boo,Toro Y Moi,Electronic,6.9,,Ian Cohen,Contributor,"Tue, 11 Jul 2017 05:00:00 GMT",/reviews/albums/toro-y-moi-boo-boo/
Chronology,Chronixx,Global,7.6,,Erin MacLeod,Contributor,"Tue, 11 Jul 2017 05:00:00 GMT",/reviews/albums/chronixx-chronology/
"Nídia é Má, Nídia é Fudida",Nídia,Electronic,7.8,,Philip Sherburne,Contributing Editor,"Tue, 11 Jul 2017 05:00:00 GMT",/reviews/albums/nidia-nidia-e-ma-nidia-e-fudida/
Bells for the South Side,Roscoe Mitchell,Jazz,7.3,,Daniel Martin-McCormick,Contributor,"Tue, 11 Jul 2017 05:00:00 GMT",/reviews/albums/roscoe-mitchell-bells-for-the-south-side/
Hug of Thunder,Broken Social Scene,Rock,8.4,Best new music,Ian Cohen,Contributor,"Mon, 10 Jul 2017 05:00:00 GMT",/reviews/albums/broken-social-scene-hug-of-thunder/
Like a Woman,Kacy Hill,Pop/R&B,5.1,,Claire Lobenfeld,Contributor,"Mon, 10 Jul 2017 05:00:00 GMT",/reviews/albums/kacy-hill-like-a-woman/
Teething,Brightness,Rock,7.4,,Shaad D’Souza,,"Mon, 10 Jul 2017 05:00:00 GMT",/reviews/albums/brightness-teething/
White Halo,Heaven in Her Arms,Metal,7.7,,Andy O'Connor,Contributor,"Mon, 10 Jul 2017 05:00:00 GMT",/reviews/albums/heaven-in-her-arms-white-halo/
Dribble EP,Sau Poler,Electronic,7.8,,Ben Cardew,Contributor,"Mon, 10 Jul 2017 05:00:00 GMT",/reviews/albums/sau-poler-dribble-ep/
Metallica,Metallica,Metal,7.7,,Zoe Camp,Contributor,"Sun, 09 Jul 2017 05:00:00 GMT",/reviews/albums/metallica-metallica/
Grateful,DJ Khaled,Rap,5.2,,Rebecca  Haithcoat,Contributor,"Sat, 08 Jul 2017 05:00:00 GMT",/reviews/albums/dj-khaled-grateful/
Anguilla Electrica,Porter Ricks,Electronic,8.0,,Andrew Gaerig,Contributor,"Sat, 08 Jul 2017 05:00:00 GMT",/reviews/albums/porter-ricks-anguilla-electrica/
Poiemusia La Nau Dels Argonautes,Pep Llopis,Experimental,7.6,,Philip Sherburne,Contributing Editor,"Sat, 08 Jul 2017 05:00:00 GMT",/reviews/albums/pep-llopis-poiemusia-la-nau-dels-argonautes/
Reject on Steroids,Conway,Rap,6.8,,Ian Cohen,Contributor,"Sat, 08 Jul 2017 05:00:00 GMT",/reviews/albums/conway-reject-on-steroids/
Something to Tell You,Haim,Rock,7.8,,Jenn Pelly,Associate Reviews Editor,"Fri, 07 Jul 2017 05:00:00 GMT",/reviews/albums/haim-something-to-tell-you/
Funk Wav Bounces Vol. 1,Calvin Harris,Electronic,6.7,,Eve Barlow,Contributor,"Fri, 07 Jul 2017 05:00:00 GMT",/reviews/albums/calvin-harris-funk-wav-bounces-vol-1/
Man of the World,Baio,Electronic,5.6,,Philip Cosores,Contributor,"Fri, 07 Jul 2017 05:00:00 GMT",/reviews/albums/baio-man-of-the-world/
Woodstock,Portugal. The Man,Rock,6.6,,Evan Rytlewski,Contributor,"Fri, 07 Jul 2017 05:00:00 GMT",/reviews/albums/portugal-the-man-woodstock/
B-Sides and Rarities,Beach House,Rock,6.9,,Sasha Geffen,Contributor,"Thu, 06 Jul 2017 05:00:00 GMT",/reviews/albums/beach-house-b-sides-and-rarities/
TLC,TLC,Pop/R&B,7.4,,Julianne Escobedo Shepherd,Contributor,"Thu, 06 Jul 2017 05:00:00 GMT",/reviews/albums/tlc-tlc/
Wintres Woma,James Elkington,Folk/Country,7.8,,Jesse Jarnow,Contributor,"Thu, 06 Jul 2017 05:00:00 GMT",/reviews/albums/james-elkington-wintres-woma/
Fabric 94,Steffi,Electronic,7.7,,Philip Sherburne,Contributing Editor,"Thu, 06 Jul 2017 05:00:00 GMT",/reviews/albums/steffi-fabric-94/
4:44,JAY-Z,Rap,8.4,Best new music,Sheldon Pearce,Contributing Writer,"Wed, 05 Jul 2017 05:00:00 GMT",/reviews/albums/jay-z-444/
Instrumental Mixtape 4,Clams Casino,Rap,7.4,,Jonah Bromwich,Contributor,"Wed, 05 Jul 2017 05:00:00 GMT",/reviews/albums/clams-casino-instrumental-mixtape-4/
Ruinism,Lapalux,Electronic,7.2,,Saby Reyes-Kulkarni,Contributor,"Wed, 05 Jul 2017 05:00:00 GMT",/reviews/albums/lapalux-ruinism/
GT Ultra,Guerilla Toss,Experimental,7.5,,Jesse Jarnow,Contributor,"Wed, 05 Jul 2017 05:00:00 GMT",/reviews/albums/guerilla-toss-gt-ultra/
"Here, My Dear",Marvin Gaye,Pop/R&B,8.7,,Ryan Dombal,Senior Editor,"Sun, 02 Jul 2017 05:00:00 GMT",/reviews/albums/marvin-gaye-here-my-dear/
1967 - Sunshine Tomorrow,The Beach Boys,Rock,8.1,,Jesse Jarnow,Contributor,"Sat, 01 Jul 2017 05:00:00 GMT",/reviews/albums/the-beach-boys-1967-sunshine-tomorrow/
The Underside of Power,Algiers,Rock,5.8,,Sheldon Pearce,Contributing Writer,"Sat, 01 Jul 2017 05:00:00 GMT",/reviews/albums/algiers-the-underside-of-power/
Bill Orcutt,Bill Orcutt,Experimental,7.6,,Colin Joyce,Contributor,"Sat, 01 Jul 2017 05:00:00 GMT",/reviews/albums/bill-orcutt-bill-orcutt/
Psychic Drift,White Suns,,7.4,,Raymond Cummings,Contributor,"Sat, 01 Jul 2017 05:00:00 GMT",/reviews/albums/white-suns-psychic-drift/
May God Bless Your Hustle,MIKE,Rap,8.3,Best new music,Matthew Strauss,Associate Editor,"Fri, 30 Jun 2017 05:00:00 GMT",/reviews/albums/mike-may-god-bless-your-hustle/
Moonlight (Original Motion Picture Soundtrack),Nicholas Britell,Jazz,7.7,,Calum Marsh,Contributor,"Fri, 30 Jun 2017 05:00:00 GMT",/reviews/albums/nicholas-britell-moonlight-original-motion-picture-soundtrack/
Ennanga Vision,Ennanga Vision,Electronic,7.2,,Andy Beta,Contributor,"Fri, 30 Jun 2017 05:00:00 GMT",/reviews/albums/ennanga-vision-ennanga-vision/
Vulture,Turtlenecked,Rock,6.0,,Ian Cohen,Contributor,"Fri, 30 Jun 2017 05:00:00 GMT",/reviews/albums/turtlenecked-vulture/
Mister Mellow,Washed Out,Electronic,6.7,,Ian Cohen,Contributor,"Thu, 29 Jun 2017 05:00:00 GMT",/reviews/albums/washed-out-mister-mellow/
Murder of the Universe,King Gizzard & The Lizard Wizard,Rock,8.0,,Stuart Berman,Contributor,"Thu, 29 Jun 2017 05:00:00 GMT",/reviews/albums/king-gizzard-and-the-lizard-wizard-murder-of-the-universe/
Cracked Actor (Live Los Angeles ’74),David Bowie,Rock,8.0,,Chris Randle,Contributor,"Thu, 29 Jun 2017 05:00:00 GMT",/reviews/albums/david-bowie-cracked-actor-live-los-angeles-74/
Which Way Iz West,MC Eiht,Rap,7.1,,Marcus Moore,Contributor,"Thu, 29 Jun 2017 05:00:00 GMT",/reviews/albums/mc-eiht-which-way-iz-west/
Dust,Laurel Halo,Electronic,8.2,,Chal Ravens,Contributor,"Wed, 28 Jun 2017 05:00:00 GMT",/reviews/albums/laurel-halo-dust/
Reflections - Mojave Desert,Floating Points,Electronic,7.3,,Andy Beta,Contributor,"Wed, 28 Jun 2017 05:00:00 GMT",/reviews/albums/floating-points-reflections-mojave-desert/
